City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
473,Basco,PH,74.71,broken clouds,20.4487,121.9702,Nathaniel's Lodge
474,Labuan,MY,79.16,scattered clouds,5.2767,115.2417,Tiara Labuan Hotel
479,Masterton,NZ,70.97,overcast clouds,-40.9597,175.6575,Copthorne Hotel & Resort Solway Park Wairarapa
482,Piacabucu,BR,88.47,scattered clouds,-10.4056,-36.4344,Piaçabuçu News
484,Itanhandu,BR,76.3,overcast clouds,-22.2958,-44.9347,Hotel casarão
486,Swellendam,ZA,71.98,clear sky,-34.0226,20.4417,De Kloof Luxury Estate boutique Hotel & SPA
495,Ahuimanu,US,73.11,light rain,21.4447,-157.8378,Paradise Bay Resort
507,Vung Tau,VN,79.66,overcast clouds,10.346,107.0843,Green hotel
509,Nouadhibou,MR,84.18,dust,20.931,-17.0347,El Medina
514,Isabela,PH,78.85,light rain,6.7085,121.9711,Isawad Resort
515,Matara,LK,75.79,light rain,5.9485,80.5353,Amaloh Boutique Resort
517,Paita,PE,79.36,broken clouds,-5.0892,-81.1144,Hotel Náutico de Paita
518,Barranca,PE,73.29,overcast clouds,-10.75,-77.7667,El Olivar Hospedaje
524,Morondava,MG,82.11,light rain,-20.2833,44.2833,La Case Bambou
526,Bengkulu,ID,77.13,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
527,Canavieiras,BR,87.76,few clouds,-15.675,-38.9472,Bahiadomizil
529,Kathu,TH,86.7,overcast clouds,7.9178,98.3332,Novotel Phuket Resort
531,Namatanai,PG,79.39,light rain,-3.6667,152.4333,Seagulls Inn Namatani
532,Yulara,AU,80.44,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
534,Yong Peng,MY,70.84,light rain,2.0136,103.0659,MH Hotel Yong Peng
536,Chicama,PE,70.34,overcast clouds,-7.8447,-79.1469,Balihai Bungalows
538,Cayenne,GF,81.09,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
542,Mercedes,AR,86.52,clear sky,-34.6515,-59.4307,Posada del Inti Centro
547,Ugoofaaru,MV,81.5,overcast clouds,5.6667,73.0,Ungoofaaru Inn
552,Inirida,CO,88.57,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
556,Caraballeda,VE,86.36,broken clouds,10.6112,-66.8522,Hotel 15 Letras
557,Tondi,IN,80.01,scattered clouds,9.7333,79.0167,Star Lodge
559,Uige,AO,86.02,scattered clouds,-7.6087,15.0613,Hotel Catraio
566,Metro,ID,73.4,overcast clouds,-5.1131,105.3067,OYO 3177 Wisma Lintang
568,Acajutla,SV,83.8,clear sky,13.5928,-89.8275,Laureles
570,Port Keats,AU,80.44,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
571,Gigmoto,PH,77.16,light rain,13.7796,124.39,Cj's Travellers Inn
576,Noumea,NC,81.0,moderate rain,-22.2763,166.4572,Hôtel Le Lagon
578,Camabatela,AO,71.46,broken clouds,-8.1881,15.375,Pensão E Restaurantes
582,Pamekasan,ID,75.97,overcast clouds,-7.1568,113.4746,OYO 3027 Griya Temenggungan Syariah
583,Hobyo,SO,76.84,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
584,Vallenar,CL,75.16,scattered clouds,-28.5708,-70.7581,Humacao Bed & Breakfast
585,Ternate,ID,80.01,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
587,Maketu,NZ,72.48,overcast clouds,-37.7667,176.45,Maketu Beach Holiday Park
590,Lujan,AR,88.03,clear sky,-34.5703,-59.105,Hotel Biarritz
594,Caravelas,BR,86.9,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
597,Benoni,ZA,77.83,moderate rain,-26.1885,28.3208,The Lakes Hotel & Conference Centre
599,Na Wa,TH,77.63,clear sky,17.4897,104.1006,ร้านช่างเจมส์ สแตนเลส ประตู อื่นๆ คอกซิ่ง นาหว้านครพนม
605,Salinopolis,BR,79.99,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
606,Sal Rei,CV,82.6,overcast clouds,16.1833,-22.9167,Marine Club Beach Resort
610,Tres Lagoas,BR,85.08,overcast clouds,-20.7511,-51.6783,Druds Express Hotel
614,Amuntai,ID,73.4,overcast clouds,-2.4177,115.2494,Hotel Balqis
615,Knysna,ZA,70.18,overcast clouds,-34.0363,23.0471,Protea Hotel by Marriott Knysna Quays
617,Daru,PG,79.95,overcast clouds,-9.0763,143.2092,Daru Lodge
619,Alta Floresta,BR,87.62,scattered clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
620,Mendoza,AR,85.53,few clouds,-32.8908,-68.8272,Hotel Mendoza
622,Sabang,ID,82.6,overcast clouds,5.8933,95.3214,Hotel Citra
623,Itarema,BR,86.0,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
627,Najran,SA,77.65,clear sky,17.4924,44.1277,محمد هادي ال فطيح
629,Tingo Maria,PE,70.11,mist,-9.2895,-76.0088,Hospedaje Paraíso
633,Carutapera,BR,82.11,broken clouds,-1.195,-46.02,Lidera
635,Todos Santos,MX,70.75,clear sky,23.45,-110.2167,Hotel California Todos Santos
640,Montepuez,MZ,70.88,light rain,-13.1256,38.9997,PembaAparthotel
642,Flinders,AU,70.21,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
643,Ambunti,PG,74.26,very heavy rain,-4.2365,142.8448,AMBUNTI HIDE INN
645,Grand Gaube,MU,80.38,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
646,Nellikkuppam,IN,77.74,clear sky,11.7667,79.6833,Amma hotel
649,Madang,PG,76.21,overcast clouds,-5.2246,145.7966,Comfort Inn Hotel
650,Mana,GF,83.21,scattered clouds,5.6592,-53.7767,LE SAMANA
652,Pointe Michel,DM,78.93,scattered clouds,15.25,-61.3833,Castle Comfort Lodge Dive Dominica
658,Rancho Palos Verdes,US,75.51,clear sky,33.7445,-118.387,Terranea Resort
669,Black River,JM,81.99,clear sky,18.0264,-77.8487,Idlers' Rest Beach Hotel
