City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
147,Mahibadhoo,3.7833,72.9667,81.59,74,100,8.72,MV,overcast clouds
148,Ameca,20.55,-104.0333,65.43,31,0,1.88,MX,clear sky
149,Saint George,37.1041,-113.5841,49.35,47,0,4.61,US,clear sky
150,Port Lincoln,-34.7333,135.8667,62.04,74,12,13.98,AU,few clouds
151,Buchanan,5.8808,-10.0467,91.36,66,17,13.47,LR,few clouds
152,Saint-Augustin,51.226,-58.6502,22.53,88,100,5.61,CA,overcast clouds
153,Atasu,48.6814,71.6433,-1.62,98,32,4.88,KZ,scattered clouds
154,San Rafael,-34.6177,-68.3301,86.61,25,39,18.41,AR,scattered clouds
155,Albany,42.6001,-73.9662,43.09,80,97,7.99,US,overcast clouds
156,Vanimo,-2.6741,141.3028,79.77,83,100,1.72,PG,overcast clouds
157,Alamosa,37.4695,-105.87,27.36,85,0,0.0,US,clear sky
158,College,64.8569,-147.8028,-7.71,75,75,4.61,US,broken clouds
159,Shaowu,27.3409,117.4831,48.94,98,100,1.01,CN,overcast clouds
160,Okha,53.5739,142.9478,20.3,96,100,4.23,RU,light snow
161,La Ronge,55.1001,-105.2842,16.05,92,100,6.91,CA,overcast clouds
162,Umm Kaddadah,13.6017,26.6876,76.08,8,0,13.91,SD,clear sky
163,Saldanha,-33.0117,17.9442,77.05,73,6,12.8,ZA,clear sky
164,Longyearbyen,78.2186,15.6401,22.84,74,75,11.5,SJ,broken clouds
165,Kabinda,-6.1333,24.4833,71.28,88,100,5.91,CD,light rain
166,Sao Filipe,14.8961,-24.4956,79.97,49,100,8.95,CV,overcast clouds
167,Mount Isa,-20.7333,139.5,76.77,73,73,5.75,AU,broken clouds
168,Vila Velha,-20.3297,-40.2925,78.94,82,40,14.97,BR,scattered clouds
169,Nuuk,64.1835,-51.7216,25.41,93,100,12.66,GL,heavy snow
170,Port Blair,11.6667,92.75,80.64,78,40,4.61,IN,mist
171,San Patricio,28.017,-97.5169,60.89,56,95,3.58,US,overcast clouds
172,Inhambane,-23.865,35.3833,85.98,66,20,9.22,MZ,few clouds
173,Dingle,10.9995,122.6711,76.37,79,100,10.04,PH,overcast clouds
174,Port Hardy,50.6996,-127.4199,45.75,100,75,3.44,CA,broken clouds
175,Luwuk,-0.9516,122.7875,77.31,87,40,3.13,ID,scattered clouds
176,Hermiston,45.8404,-119.2895,57.11,100,0,4.61,US,clear sky
177,Hasaki,35.7333,140.8333,34.2,84,100,29.8,JP,overcast clouds
178,Bemidji,47.4736,-94.8803,17.64,82,100,8.05,US,overcast clouds
179,Quatre Cocos,-20.2078,57.7625,80.1,79,17,8.08,MU,light rain
180,Phalaborwa,-23.943,31.1411,92.48,16,4,10.69,ZA,clear sky
181,Kaitangata,-46.2817,169.8464,57.33,96,94,3.65,NZ,overcast clouds
182,Fairbanks,64.8378,-147.7164,-7.69,75,100,4.61,US,overcast clouds
183,Mogadishu,2.0371,45.3438,77.83,78,1,23.8,SO,clear sky
184,Bredasdorp,-34.5322,20.0403,72.72,53,0,18.41,ZA,clear sky
185,Kintinku,-5.8833,35.2333,78.37,77,100,4.85,TZ,overcast clouds
186,Jibuti,11.5,42.5,74.62,61,50,14.97,DJ,scattered clouds
187,Soyo,-6.1349,12.3689,86.05,68,24,11.97,AO,few clouds
188,Urumqi,43.801,87.6005,13.15,86,97,2.24,CN,smoke
189,Tateyama,34.9833,139.8667,37.42,81,75,17.27,JP,mist
190,Narok,-1.0783,35.8601,70.07,43,78,1.39,KE,broken clouds
191,Te Anau,-45.4167,167.7167,56.23,94,63,1.88,NZ,broken clouds
192,Upata,8.0086,-62.3989,87.6,38,100,4.09,VE,overcast clouds
193,Bonavista,48.6499,-53.1147,37.11,81,72,7.94,CA,broken clouds
194,Tiksi,71.6872,128.8694,-11.42,92,100,16.06,RU,overcast clouds
195,Tual,-5.6667,132.75,82.94,74,100,3.53,ID,very heavy rain
196,Shwebo,22.5667,95.7,67.12,36,1,4.03,MM,clear sky
197,Beloha,-25.1667,45.05,75.65,77,81,11.61,MG,broken clouds
198,Dharampur,20.5333,73.1833,72.57,31,9,5.55,IN,clear sky
199,Wanaka,-44.7,169.15,55.4,84,0,3.67,NZ,clear sky
200,Smidovich,48.6,133.8167,-8.14,100,98,3.15,RU,overcast clouds
201,Katav-Ivanovsk,54.7531,58.1956,16.81,79,100,9.26,RU,snow
202,Nizwa,22.9333,57.5333,71.35,31,0,2.98,OM,clear sky
203,Vechta,52.7167,8.2833,44.91,75,100,5.99,DE,overcast clouds
204,Partyzany,46.3314,34.7503,38.14,91,83,11.63,UA,broken clouds
205,Mamlyutka,54.9375,68.5394,-9.2,93,5,9.37,KZ,clear sky
206,Iqaluit,63.7506,-68.5145,-15.07,76,100,2.3,CA,light snow
207,Dabakala,8.3667,-4.4333,100.54,7,0,6.6,CI,clear sky
208,Kavieng,-2.5744,150.7967,80.91,80,100,7.27,PG,light rain
